"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000287190.1|ENSG00000287190",107.656149802555,-23.2880798478975,4.23094174006384,-5.50423080218215,3.70783539981505e-08,0.00011484514537009
"ENSG00000107593.17|PKD2L1",290.15894667145,-16.7975250480509,2.91036752996916,-5.77161642819348,7.85146801213471e-09,3.34384208301802e-05
"ENSG00000176239.7|OR51B6",16.2671822188503,17.1591991470577,4.22509076368828,4.06126166437159,4.88082293207321e-05,0.0426396200304272
"ENSG00000248424.1|OR51K1P",34.1065797042227,15.51890230902,3.72289000111049,4.16850949246175,3.06597994590796e-05,0.0303386724194141
"ENSG00000229427.1|ANKRD26P4",10.2123789496862,-5.11030438231848,1.22702996792461,-4.16477552782351,3.1165904572202e-05,0.0303386724194141
"ENSG00000258844.2|ENSG00000258844",20.7619660739395,-18.1543547781132,3.29818549942572,-5.50434618710022,3.70540802132255e-08,0.00011484514537009
"ENSG00000205918.10|PDPK2P",32.6917616729784,-21.2263856487599,3.44983620602915,-6.15286766706873,7.60942973650548e-10,5.18521761104956e-06
"ENSG00000291074.1|CCDC144NL",461.627588557432,-18.8689103610493,3.83108188970421,-4.92521718519207,8.4266706784793e-07,0.00159502831492482
"ENSG00000266369.1|ENSG00000266369",56.7800336530594,-17.9219293983099,4.24662915264143,-4.22027183305195,2.44007911378872e-05,0.0267650533504979
"ENSG00000265118.5|ENSG00000265118",6.47866457313025,-20.2237080614713,4.23356900216019,-4.7769879388176,1.77940442210408e-06,0.0026359168724134
"ENSG00000289024.1|ENSG00000289024",17.0207881323415,-17.5911514886165,4.25211289530716,-4.13703773200165,3.51818274455334e-05,0.0332966678582435
"ENSG00000252680.1|RNA5SP449",16.8611695891449,-15.3367631979912,3.61525345723499,-4.2422373367208,2.21302476137154e-05,0.0251333222148966
"ENSG00000187664.9|HAPLN4",26.1811249993522,-21.3903615064389,4.23196228882235,-5.05447828846115,4.31568847670762e-07,0.00086494012994062
"ENSG00000269793.7|ZIM2-AS1",27.5099638889911,-20.4271854340625,3.00318057439611,-6.80185054745504,1.03283718312868e-11,1.17299318887924e-07
"ENSG00000272563.1|ENSG00000272563",16.7167927812267,4.98473201369695,1.23398036627393,4.0395553688983,5.35526251739169e-05,0.0456147873075131
"ENSG00000251569.1|ENSG00000251569",78.0827542318391,-8.61764810602225,1.65707402558536,-5.2005209018819,1.98730767422877e-07,0.000423184748554054
"ENSG00000224257.1|VWC2L-IT1",22.0638631681523,-15.1998373779994,3.60736586477444,-4.21355580436802,2.51381440878147e-05,0.0267650533504979
"ENSG00000251357.4|ENSG00000251357",247.956053346812,23.1178840622264,3.61230672826437,6.39975666555148,1.55624768511179e-10,1.3255728719861e-06
"ENSG00000212939.2|ENSG00000212939",30.9607725828862,17.029039243718,2.82681349076628,6.02411135341717,1.70041271435671e-09,9.65579359847457e-06
"ENSG00000259976.3|ENSG00000259976",356.214458333806,-6.17283967304671,1.16917800847804,-5.27964059218161,1.29437529045859e-07,0.000315004718008675
"ENSG00000261796.1|ISY1-RAB43",72.3199679632735,-22.130673707866,2.25812860329451,-9.8004487767341,1.12086538040832e-22,3.81890043758917e-18
"ENSG00000285330.1|ENSG00000285330",7.26917528521301,-20.571585674759,4.23304096610966,-4.85976531752424,1.17524984372984e-06,0.00210747039082733
"ENSG00000288637.1|ENSG00000288637",70.0691433939128,-22.6675577219991,2.71405557712511,-8.35191361335715,6.71657802203455e-17,1.1442026489437e-12
"ENSG00000183666.20|GUSBP1",256.841909279003,-3.87310846912763,0.903476871192759,-4.28689277237878,1.81189697912668e-05,0.0220475507056518
"ENSG00000248167.7|TRIM39-RPP21",45.1537687631784,-23.7210586111983,4.23102119886297,-5.60646177276849,2.06504558716554e-08,7.81757424447969e-05
"ENSG00000272514.6|CFAP206",19.7942181301422,19.6840895905457,3.76416984597749,5.22933087399888,1.70124652092187e-07,0.000386421134762193
"ENSG00000214652.6|ZNF727",18.055057130589,-18.0174783073663,3.72795443748528,-4.83307363582482,1.3444103059937e-06,0.00222909423498441
"ENSG00000169085.14|VXN",5006.68718587418,-16.613438374839,2.81063442819761,-5.91092111025366,3.40199945766666e-09,1.65585033603087e-05
"ENSG00000288078.1|ENSG00000288078",34.0068695037319,16.9616483581458,4.22763071645037,4.01209317837184,6.01827349401207e-05,0.0488210943367822
"ENSG00000138379.5|MSTN",28.4450393240547,17.1622663251827,4.22476751976418,4.06229839746086,4.85919077836691e-05,0.0426396200304272
"ENSG00000168875.3|SOX14",218.324901554989,-16.9103684248767,4.14081155891678,-4.08382950643144,4.42995384296765e-05,0.0407926911847975
"ENSG00000254275.6|LINC00824",10372.3269321724,-15.1982266357617,3.78203761995506,-4.01852867765558,5.85626824902249e-05,0.0486655891493769
"ENSG00000173267.14|SNCG",216.613590537709,16.0849381129722,3.47411717046213,4.62993541200355,3.65779808399533e-06,0.00519270160499186
"ENSG00000189398.5|OR7E12P",26.5505605408873,16.1311006304389,3.69785249233431,4.36228883220162,1.28708794388361e-05,0.0162416197540958
"ENSG00000172320.4|OR5A1",72.2798425575283,-17.5687419839205,3.86681102029127,-4.54347054762379,5.53355399288038e-06,0.00725129684967029
"ENSG00000260042.1|ENSG00000260042",18.6252471857659,17.5723573362595,3.66601159645536,4.79331744429015,1.6404573662409e-06,0.00254054649659972
"ENSG00000227158.1|ENSG00000227158",7.71771084790477,14.6477699002614,3.44615969934591,4.2504617249867,2.13330289853419e-05,0.0250633665710202
"ENSG00000226521.8|ENSG00000226521",6.38739566853843,15.9099207309952,3.4586578538208,4.60002735263895,4.22435468177438e-06,0.0057571195345094
"ENSG00000260019.2|LINC01992",111.777690590265,-18.5182941590362,3.50089173241591,-5.28959350201243,1.22588501821351e-07,0.000315004718008675
"ENSG00000187323.13|DCC",2871.35923506719,-17.076326154971,3.11815303283231,-5.4764233747245,4.34008581723036e-08,0.000123225886565713
"ENSG00000229086.5|LINC01548",52.3014777512148,15.5472721554278,3.71133656835177,4.18913021470656,2.80025690149602e-05,0.0289113796639003
"ENSG00000284377.2|ENSG00000284377",26.5290328479604,-18.3979879396684,3.81009291093415,-4.82875047137829,1.37392442061203e-06,0.00222909423498441
